order_month,category,gmv_brl,gmv_usd,mom_growth_pct
2016-09,health_beauty,143.46,28.68,
2016-09,furniture_decor,136.23,27.24,
2016-09,telephony,75.06,15.01,
2016-09,unknown,,,
2016-10,furniture_decor,7052.28,1410.43,5076.75
2016-10,perfumery,6223.84,1244.79,
2016-10,health_beauty,5493.38,1098.69,3729.21
2016-10,toys,4986.08,997.21,
2016-10,consoles_games,4089.42,817.88,
2016-10,sports_leisure,3927.11,785.42,
2016-10,watches_gifts,3468.04,693.61,
2016-10,auto,2257.56,451.5,
2016-10,air_conditioning,1904.91,381.01,
2016-10,baby,1819.08,363.8,
2016-10,computers_accessories,1740.09,348.0,
2016-10,office_furniture,1587.55,317.5,
2016-10,market_place,1579.18,315.83,
2016-10,housewares,1542.54,308.52,
2016-10,garden_tools,1465.19,293.03,
2016-10,electronics,1347.57,269.52,
2016-10,cool_stuff,1327.11,265.41,
2016-10,pet_shop,775.86,155.17,
2016-10,fixed_telephony,774.45,154.89,
2016-10,fashion_bags_accessories,656.49,131.3,
2016-10,telephony,633.98,126.78,744.63
2016-10,bed_bath_table,606.58,121.32,
2016-10,industry_commerce_and_business,433.56,86.7,
2016-10,books_technical,299.84,59.97,
2016-10,audio,183.03,36.61,
2016-10,diapers_and_hygiene,150.99,30.2,
2016-10,books_general_interest,144.54,28.91,
2016-10,food,96.23,19.25,
2016-10,unknown,95.92,19.18,
2016-10,fashio_female_clothing,69.63,13.93,
2016-10,fashion_shoes,40.95,8.19,
2016-10,fashion_male_clothing,35.86,7.17,
2016-12,fashion_bags_accessories,19.62,3.92,-97.01
2017-01,furniture_decor,16461.75,3292.3,133.42
2017-01,health_beauty,14039.74,2807.94,155.58
2017-01,sports_leisure,11447.27,2289.4,191.49
2017-01,garden_tools,9225.17,1845.03,529.62
2017-01,cool_stuff,8730.86,1746.2,557.89
2017-01,watches_gifts,8310.83,1662.16,139.64
2017-01,baby,7139.93,1427.98,292.5
2017-01,consoles_games,6393.53,1278.73,56.34
2017-01,auto,5844.21,1168.81,158.87
2017-01,perfumery,5654.01,1130.81,-9.16
2017-01,toys,5570.38,1114.09,11.72
2017-01,bed_bath_table,4817.27,963.44,694.17
2017-01,computers_accessories,4377.6,875.52,151.57
2017-01,telephony,3411.51,682.3,438.11
2017-01,housewares,3269.76,653.96,111.97
2017-01,home_appliances_2,2268.6,453.73,
2017-01,computers,2217.99,443.6,
2017-01,fashion_bags_accessories,2136.61,427.27,10789.96
2017-01,unknown,1915.73,383.16,1897.22
2017-01,office_furniture,1817.74,363.56,14.5
2017-01,small_appliances,1788.25,357.64,
2017-01,stationery,1754.61,350.91,
2017-01,furniture_living_room,1519.22,303.87,
2017-01,pet_shop,1182.39,236.45,52.4
2017-01,fixed_telephony,969.56,193.91,25.19
2017-01,electronics,772.43,154.47,-42.68
2017-01,air_conditioning,738.36,147.68,-61.24
2017-01,luggage_accessories,565.38,113.08,
2017-01,market_place,548.22,109.65,-65.28
2017-01,musical_instruments,357.74,71.55,
2017-01,construction_tools_construction,335.0,67.0,
2017-01,books_general_interest,271.55,54.31,87.87
2017-01,security_and_services,209.06,41.81,
2017-01,fashion_underwear_beach,171.15,34.23,
2017-01,fashion_male_clothing,159.11,31.82,343.7
2017-01,furniture_bedroom,148.76,29.72,
2017-01,kitchen_dining_laundry_garden_furniture,128.2,25.64,
2017-01,agro_industry_and_commerce,107.76,21.55,
2017-01,fashio_female_clothing,102.81,20.56,47.65
2017-01,home_comfort_2,95.57,19.11,
2017-01,food,78.82,15.76,-18.09
2017-01,fashion_shoes,49.01,9.8,19.68
2017-01,dvds_blu_ray,47.8,9.56,
2017-01,music,37.24,7.44,
2017-02,furniture_decor,26262.32,5252.4,59.54
2017-02,health_beauty,26130.08,5225.91,86.12
2017-02,sports_leisure,19389.03,3877.76,69.38
2017-02,bed_bath_table,19297.79,3859.67,300.6
