category,orders,approved_orders,canceled_orders,approval_rate_pct,cancellation_rate_pct
bed_bath_table,9417,9416,18,99.99,0.19
health_beauty,8836,8836,36,100.0,0.41
sports_leisure,7720,7718,47,99.97,0.61
computers_accessories,6689,6689,35,100.0,0.52
furniture_decor,6449,6446,24,99.95,0.37
housewares,5884,5884,37,100.0,0.63
watches_gifts,5624,5624,20,100.0,0.36
telephony,4199,4198,16,99.98,0.38
auto,3897,3897,24,100.0,0.62
toys,3886,3886,31,100.0,0.8
cool_stuff,3632,3629,15,99.92,0.41
garden_tools,3518,3517,13,99.97,0.37
perfumery,3162,3162,14,100.0,0.44
baby,2885,2885,16,100.0,0.55
electronics,2550,2550,6,100.0,0.24
stationery,2311,2311,12,100.0,0.52
unknown,2248,2101,180,93.46,8.01
fashion_bags_accessories,1864,1864,6,100.0,0.32
pet_shop,1710,1710,4,100.0,0.23
office_furniture,1273,1273,1,100.0,0.08
consoles_games,1062,1062,8,100.0,0.75
luggage_accessories,1034,1034,4,100.0,0.39
home_appliances,764,764,2,100.0,0.26
construction_tools_construction,748,748,2,100.0,0.27
small_appliances,630,629,8,99.84,1.27
musical_instruments,628,628,8,100.0,1.27
books_general_interest,512,512,7,100.0,1.37
home_construction,490,490,1,100.0,0.2
food,450,450,1,100.0,0.22
furniture_living_room,422,422,2,100.0,0.47
home_confort,397,397,0,100.0,0.0
audio,350,350,1,100.0,0.29
drinks,297,297,1,100.0,0.34
market_place,280,280,1,100.0,0.36
books_technical,260,260,0,100.0,0.0
air_conditioning,253,253,2,100.0,0.79
kitchen_dining_laundry_garden_furniture,248,248,2,100.0,0.81
construction_tools_lights,244,244,1,100.0,0.41
fashion_shoes,240,240,2,100.0,0.83
industry_commerce_and_business,235,235,0,100.0,0.0
home_appliances_2,234,234,3,100.0,1.28
food_drink,227,227,2,100.0,0.88
fixed_telephony,217,217,3,100.0,1.38
art,202,202,1,100.0,0.5
costruction_tools_garden,194,194,2,100.0,1.03
agro_industry_and_commerce,182,182,0,100.0,0.0
computers,181,181,0,100.0,0.0
construction_tools_safety,167,166,2,99.4,1.2
signaling_and_security,140,140,0,100.0,0.0
christmas_supplies,128,128,1,100.0,0.78
fashion_underwear_beach,121,121,0,100.0,0.0
fashion_male_clothing,112,112,1,100.0,0.89
costruction_tools_tools,97,97,0,100.0,0.0
furniture_bedroom,95,95,0,100.0,0.0
tablets_printing_image,79,79,0,100.0,0.0
small_appliances_home_oven_and_coffee,75,75,0,100.0,0.0
cine_photo,65,65,0,100.0,0.0
dvds_blu_ray,59,59,2,100.0,3.39
books_imported,53,53,0,100.0,0.0
