customer_state,customer_city,category,orders,gmv_brl
SP,sao paulo,health_beauty,1533,212153.43
SP,sao paulo,bed_bath_table,1653,199568.16
SP,sao paulo,watches_gifts,778,175620.82
SP,sao paulo,sports_leisure,1266,164489.06
SP,sao paulo,computers_accessories,1004,161271.14
SP,sao paulo,housewares,1107,125408.74
SP,sao paulo,furniture_decor,998,119724.84
RJ,rio de janeiro,watches_gifts,436,100296.25
RJ,rio de janeiro,health_beauty,523,96777.26
RJ,rio de janeiro,bed_bath_table,726,94343.04
RJ,rio de janeiro,sports_leisure,513,82352.13
SP,sao paulo,toys,610,79030.21
RJ,rio de janeiro,computers_accessories,462,76027.82
SP,sao paulo,cool_stuff,430,74561.28
SP,sao paulo,perfumery,496,68630.78
RJ,rio de janeiro,furniture_decor,483,68296.93
SP,sao paulo,auto,501,65572.89
SP,sao paulo,baby,456,59964.26
RJ,rio de janeiro,housewares,412,54426.53
SP,sao paulo,garden_tools,396,52683.03
RJ,rio de janeiro,toys,327,50352.64
RJ,rio de janeiro,cool_stuff,250,49806.97
SP,sao paulo,office_furniture,184,49380.28
SP,sao paulo,telephony,570,44211.53
RJ,rio de janeiro,garden_tools,267,42848.2
MG,belo horizonte,bed_bath_table,297,39412.48
MG,belo horizonte,health_beauty,249,38799.74
RJ,rio de janeiro,office_furniture,137,38626.46
SP,sao paulo,stationery,348,37146.89
DF,brasilia,watches_gifts,143,35589.67
DF,brasilia,health_beauty,223,34567.72
SP,sao paulo,pet_shop,265,33660.35
SP,sao paulo,unknown,397,32556.42
RJ,rio de janeiro,auto,184,32329.08
RJ,rio de janeiro,perfumery,215,31330.5
MG,belo horizonte,computers_accessories,219,29382.11
RJ,rio de janeiro,baby,170,28563.05
DF,brasilia,computers_accessories,136,28413.11
SP,sao paulo,construction_tools_construction,129,27895.4
MG,belo horizonte,sports_leisure,194,27746.7
SP,sao paulo,small_appliances,108,27714.37
MG,belo horizonte,housewares,205,27526.28
SP,sao paulo,consoles_games,174,27424.36
MG,belo horizonte,watches_gifts,124,27302.92
DF,brasilia,sports_leisure,192,27285.97
SP,sao paulo,fashion_bags_accessories,295,26594.26
SP,sao paulo,musical_instruments,98,25871.48
PR,curitiba,health_beauty,126,25596.29
SP,sao paulo,luggage_accessories,142,24632.27
RJ,rio de janeiro,home_appliances_2,30,24090.34
MG,belo horizonte,furniture_decor,183,23943.63
BA,salvador,health_beauty,127,23894.58
SP,campinas,health_beauty,134,22911.81
SP,sao paulo,electronics,332,22581.68
SP,sao paulo,computers,17,21474.89
BA,salvador,sports_leisure,105,21390.69
PR,curitiba,sports_leisure,134,21126.47
RS,porto alegre,bed_bath_table,156,21048.8
RJ,rio de janeiro,stationery,157,20752.64
RJ,rio de janeiro,telephony,203,20450.44
MG,belo horizonte,toys,133,20310.66
DF,brasilia,bed_bath_table,170,20136.02
DF,brasilia,auto,103,19929.44
PR,curitiba,computers_accessories,126,19543.92
RJ,rio de janeiro,electronics,224,19370.69
SP,campinas,bed_bath_table,137,19148.77
RS,porto alegre,computers_accessories,106,18516.79
CE,fortaleza,health_beauty,66,18434.2
BA,salvador,watches_gifts,79,18254.34
MG,belo horizonte,auto,102,18189.58
PR,curitiba,watches_gifts,87,18087.64
SP,campinas,watches_gifts,72,17942.35
SP,sao paulo,home_appliances_2,37,17653.11
SP,guarulhos,watches_gifts,79,17526.0
RJ,niteroi,watches_gifts,50,17495.38
BA,salvador,computers_accessories,81,16860.27
RS,porto alegre,furniture_decor,121,16809.67
