category,item_price_brl,avg_review_score
housewares,29.99,4.0
perfumery,118.7,4.0
auto,159.9,5.0
pet_shop,45.0,5.0
stationery,19.9,5.0
auto,147.9,4.0
unknown,49.9,2.0
auto,59.99,5.0
furniture_decor,19.9,1.0
office_furniture,149.99,5.0
garden_tools,99.0,1.0
garden_tools,99.0,1.0
computers_accessories,98.0,4.0
perfumery,31.9,5.0
bed_bath_table,19.9,5.0
toys,38.25,4.0
perfumery,132.4,5.0
telephony,27.99,5.0
bed_bath_table,17.9,5.0
telephony,76.0,4.0
health_beauty,109.9,2.0
health_beauty,79.99,5.0
electronics,9.5,3.0
baby,129.99,4.0
stationery,89.9,5.0
cool_stuff,109.9,2.0
baby,90.9,1.0
baby,39.5,1.0
perfumery,47.9,5.0
watches_gifts,178.99,4.0
garden_tools,30.1,4.0
baby,279.0,2.0
air_conditioning,186.9,1.0
furniture_decor,49.0,4.0
toys,84.9,5.0
perfumery,179.0,5.0
garden_tools,78.0,5.0
electronics,39.9,4.0
computers_accessories,27.9,5.0
health_beauty,445.0,5.0
bed_bath_table,36.9,3.0
garden_tools,119.99,5.0
housewares,339.0,1.0
sports_leisure,69.9,5.0
stationery,99.0,4.0
health_beauty,14.49,1.0
garden_tools,139.0,1.0
sports_leisure,36.9,4.0
furniture_decor,69.9,5.0
sports_leisure,33.9,5.0
books_general_interest,115.0,5.0
construction_tools_construction,39.47,5.0
small_appliances,53.44,5.0
sports_leisure,60.0,1.0
sports_leisure,60.0,1.0
watches_gifts,369.0,4.0
furniture_decor,38.4,5.0
perfumery,119.9,5.0
small_appliances,29.99,5.0
telephony,22.99,1.0
telephony,22.99,1.0
furniture_decor,84.9,1.0
sports_leisure,113.0,5.0
bed_bath_table,79.9,4.0
sports_leisure,39.9,5.0
sports_leisure,299.0,5.0
food,27.9,4.0
computers_accessories,119.0,4.0
luggage_accessories,199.0,4.0
construction_tools_construction,329.9,3.0
construction_tools_construction,329.9,3.0
telephony,24.89,4.0
auto,84.9,5.0
auto,84.9,5.0
auto,84.9,5.0
auto,84.9,5.0
construction_tools_construction,42.99,5.0
food,27.9,3.0
baby,50.0,5.0
air_conditioning,190.0,5.0
cool_stuff,42.9,4.0
health_beauty,69.9,5.0
housewares,38.0,1.0
housewares,38.0,1.0
housewares,38.0,1.0
housewares,38.0,1.0
housewares,38.0,1.0
perfumery,56.99,5.0
perfumery,56.99,5.0
auto,24.99,5.0
watches_gifts,219.0,1.0
watches_gifts,93.0,4.0
watches_gifts,93.0,4.0
health_beauty,19.99,3.0
telephony,45.0,5.0
health_beauty,58.2,5.0
bed_bath_table,110.99,3.0
bed_bath_table,38.5,4.0
office_furniture,179.99,2.0
sports_leisure,544.0,5.0
bed_bath_table,14.82,5.0
