category,total_gmv_brl,total_gmv_usd,order_count
health_beauty,1441248.07,288249.35,8836
watches_gifts,1305541.61,261109.61,5624
bed_bath_table,1241681.72,248338.78,9417
sports_leisure,1156656.48,231332.22,7720
computers_accessories,1059272.4,211855.09,6689
furniture_decor,902511.79,180503.68,6449
housewares,778397.77,155680.88,5884
cool_stuff,719329.95,143866.36,3632
auto,685384.32,137077.71,3897
garden_tools,584219.21,116842.42,3518
toys,561372.55,112275.31,3886
baby,480118.0,96024.04,2885
perfumery,453338.71,90668.3,3162
telephony,394883.32,78977.58,4199
office_furniture,342532.65,68506.42,1273
stationery,277741.71,55548.18,2311
pet_shop,253876.65,50775.35,1710
computers,232799.43,46559.86,181
unknown,213662.9,42732.72,2248
musical_instruments,210137.37,42027.46,628
electronics,206825.06,41367.34,2550
small_appliances,206668.83,41333.89,630
fashion_bags_accessories,184273.54,36855.53,1864
consoles_games,177293.24,35458.76,1062
luggage_accessories,170875.21,34175.12,1034
construction_tools_construction,165328.0,33065.72,748
home_appliances_2,123917.92,24783.58,234
home_construction,96920.36,19384.26,490
home_appliances,94990.43,18998.07,764
furniture_living_room,86884.73,17376.85,422
agro_industry_and_commerce,78374.07,15674.86,182
home_confort,67073.27,13414.99,397
fixed_telephony,64220.81,12844.13,217
air_conditioning,61774.19,12354.91,253
kitchen_dining_laundry_garden_furniture,58327.8,11665.6,248
audio,56398.94,11280.03,350
books_general_interest,56052.4,11210.52,512
small_appliances_home_oven_and_coffee,50193.57,10038.69,75
construction_tools_lights,48663.8,9732.81,244
industry_commerce_and_business,47554.29,9510.81,235
construction_tools_safety,44463.62,8892.73,167
food,36664.44,7332.96,450
market_place,33834.53,6766.93,280
costruction_tools_garden,31027.29,6205.4,194
fashion_shoes,28481.64,5696.34,240
art,28247.81,5649.6,202
drinks,28169.95,5634.03,297
signaling_and_security,28017.05,5603.37,140
furniture_bedroom,24661.01,4932.16,95
books_technical,23379.12,4675.9,260
food_drink,19687.47,3937.41,227
costruction_tools_tools,17934.17,3586.88,97
fashion_male_clothing,12950.23,2590.1,112
christmas_supplies,12030.12,2405.93,128
fashion_underwear_beach,11457.74,2291.55,121
tablets_printing_image,8754.61,1750.9,79
cine_photo,8189.66,1638.02,65
dvds_blu_ray,7288.13,1457.71,59
music,6724.86,1344.94,38
furniture_mattress_and_upholstery,5998.54,1199.7,38
books_imported,5409.7,1081.99,53
party_supplies,5313.15,1062.67,39
fashio_female_clothing,3425.39,685.16,39
fashion_sport,2697.64,539.54,27
la_cuisine,2388.54,477.71,13
arts_and_craftmanship,2184.14,436.83,23
diapers_and_hygiene,2141.27,428.25,27
flowers,1598.91,319.77,29
home_comfort_2,1170.58,234.11,24
cds_dvds_musicals,954.99,191.0,12
fashion_childrens_clothes,665.36,133.07,8
security_and_services,324.51,64.9,2
