cohort_month,cohort_index,cohort_size,retained_customers,retention_rate_pct
2016-09-01,0,4,4,100.0
2016-10-01,0,321,321,100.0
2016-10-01,6,321,1,0.31
2016-10-01,9,321,1,0.31
2016-10-01,11,321,1,0.31
2016-10-01,13,321,1,0.31
2016-10-01,15,321,1,0.31
2016-10-01,17,321,1,0.31
2016-10-01,19,321,2,0.62
2016-10-01,20,321,2,0.62
2016-12-01,0,1,1,100.0
2016-12-01,1,1,1,100.0
2017-01-01,0,764,764,100.0
2017-01-01,1,764,3,0.39
2017-01-01,2,764,2,0.26
2017-01-01,3,764,1,0.13
2017-01-01,4,764,3,0.39
2017-01-01,5,764,1,0.13
2017-01-01,6,764,4,0.52
2017-01-01,7,764,1,0.13
2017-01-01,8,764,1,0.13
2017-01-01,10,764,3,0.39
2017-01-01,11,764,1,0.13
2017-01-01,12,764,6,0.79
2017-01-01,13,764,3,0.39
2017-01-01,14,764,1,0.13
2017-01-01,15,764,1,0.13
2017-01-01,16,764,2,0.26
2017-01-01,17,764,3,0.39
2017-01-01,19,764,1,0.13
2017-02-01,0,1752,1752,100.0
2017-02-01,1,1752,4,0.23
2017-02-01,2,1752,5,0.29
2017-02-01,3,1752,2,0.11
2017-02-01,4,1752,7,0.4
2017-02-01,5,1752,2,0.11
2017-02-01,6,1752,4,0.23
2017-02-01,7,1752,3,0.17
2017-02-01,8,1752,3,0.17
2017-02-01,9,1752,4,0.23
2017-02-01,10,1752,2,0.11
2017-02-01,11,1752,5,0.29
2017-02-01,12,1752,3,0.17
2017-02-01,13,1752,3,0.17
2017-02-01,14,1752,2,0.11
2017-02-01,15,1752,1,0.06
2017-02-01,16,1752,1,0.06
2017-02-01,17,1752,4,0.23
2017-03-01,0,2636,2636,100.0
2017-03-01,1,2636,13,0.49
2017-03-01,2,2636,10,0.38
2017-03-01,3,2636,10,0.38
2017-03-01,4,2636,9,0.34
2017-03-01,5,2636,4,0.15
2017-03-01,6,2636,4,0.15
2017-03-01,7,2636,8,0.3
2017-03-01,8,2636,9,0.34
2017-03-01,9,2636,2,0.08
2017-03-01,10,2636,10,0.38
2017-03-01,11,2636,4,0.15
2017-03-01,12,2636,6,0.23
2017-03-01,13,2636,3,0.11
2017-03-01,14,2636,4,0.15
2017-03-01,15,2636,6,0.23
2017-03-01,16,2636,2,0.08
2017-03-01,17,2636,4,0.15
2017-04-01,0,2352,2352,100.0
2017-04-01,1,2352,14,0.6
2017-04-01,2,2352,5,0.21
2017-04-01,3,2352,4,0.17
2017-04-01,4,2352,8,0.34
2017-04-01,5,2352,6,0.26
2017-04-01,6,2352,8,0.34
2017-04-01,7,2352,7,0.3
2017-04-01,8,2352,7,0.3
2017-04-01,9,2352,4,0.17
2017-04-01,10,2352,6,0.26
2017-04-01,11,2352,2,0.09
2017-04-01,12,2352,2,0.09
2017-04-01,13,2352,1,0.04
2017-04-01,14,2352,2,0.09
