week_start,forecast,lower_ci,upper_ci
2018-09-03,8678.3222107398,-8575.72024261553,25932.36466409513
2018-09-10,13094.404665081564,-7147.318348755822,33336.12767891895
2018-09-17,18086.291354025496,-3456.4958918893717,39629.07859994036
2018-09-24,17359.358891069605,-4957.686833847914,39676.40461598712
2018-10-01,18757.8403929074,-4130.837375753032,41646.51816156783
2018-10-08,22811.100104455254,-560.290277362783,46182.490486273295
2018-10-15,24655.410700952852,844.5574469770909,48466.26395492861
2018-10-22,30599.54553080639,6372.521927081896,54826.56913453089
2018-10-29,21975.70041057175,-2653.174085148745,46604.57490629224
2018-11-05,18504.781105136164,-6516.173798326206,43525.736008598535
2018-11-12,24092.92547630064,-1312.2712548116506,49498.12220741293
2018-11-19,21874.88122753648,-3907.9741870694124,47657.73664214237
